freq,unit,coicop,geo,time,values
M,RCH_A,CP00,RO,1997-01-01,76.4
M,RCH_A,CP00,RO,1997-02-01,105.8
M,RCH_A,CP00,RO,1997-03-01,164.4
M,RCH_A,CP00,RO,1997-04-01,176.7
M,RCH_A,CP00,RO,1997-05-01,174.2
M,RCH_A,CP00,RO,1997-06-01,177.7
M,RCH_A,CP00,RO,1997-07-01,159.8
M,RCH_A,CP00,RO,1997-08-01,159.4
M,RCH_A,CP00,RO,1997-09-01,161.3
M,RCH_A,CP00,RO,1997-10-01,169.7
M,RCH_A,CP00,RO,1997-11-01,165.6
M,RCH_A,CP00,RO,1997-12-01,151.3
M,RCH_A,CP00,RO,1998-01-01,132
M,RCH_A,CP00,RO,1998-02-01,109.3
M,RCH_A,CP00,RO,1998-03-01,66.1
M,RCH_A,CP00,RO,1998-04-01,59.6
M,RCH_A,CP00,RO,1998-05-01,56.5
M,RCH_A,CP00,RO,1998-06-01,55
M,RCH_A,CP00,RO,1998-07-01,56.1
M,RCH_A,CP00,RO,1998-08-01,51.8
M,RCH_A,CP00,RO,1998-09-01,50.8
M,RCH_A,CP00,RO,1998-10-01,47.1
M,RCH_A,CP00,RO,1998-11-01,43.8
M,RCH_A,CP00,RO,1998-12-01,40.5
M,RCH_A,CP00,RO,1999-01-01,38.1
M,RCH_A,CP00,RO,1999-02-01,32.5
M,RCH_A,CP00,RO,1999-03-01,35.8
M,RCH_A,CP00,RO,1999-04-01,38.7
M,RCH_A,CP00,RO,1999-05-01,42.8
M,RCH_A,CP00,RO,1999-06-01,48.1
M,RCH_A,CP00,RO,1999-07-01,48.6
M,RCH_A,CP00,RO,1999-08-01,49.4
M,RCH_A,CP00,RO,1999-09-01,50.2
M,RCH_A,CP00,RO,1999-10-01,50.6
M,RCH_A,CP00,RO,1999-11-01,53.7
M,RCH_A,CP00,RO,1999-12-01,54.8
M,RCH_A,CP00,RO,2000-01-01,56.7
M,RCH_A,CP00,RO,2000-02-01,55.6
M,RCH_A,CP00,RO,2000-03-01,49
M,RCH_A,CP00,RO,2000-04-01,48.9
M,RCH_A,CP00,RO,2000-05-01,44
M,RCH_A,CP00,RO,2000-06-01,40.9
M,RCH_A,CP00,RO,2000-07-01,44.5
M,RCH_A,CP00,RO,2000-08-01,45.4
M,RCH_A,CP00,RO,2000-09-01,44.9
M,RCH_A,CP00,RO,2000-10-01,42.9
M,RCH_A,CP00,RO,2000-11-01,41.3
M,RCH_A,CP00,RO,2000-12-01,40.7
M,RCH_A,CP00,RO,2001-01-01,39.9
M,RCH_A,CP00,RO,2001-02-01,40
M,RCH_A,CP00,RO,2001-03-01,40.4
M,RCH_A,CP00,RO,2001-04-01,37.4
M,RCH_A,CP00,RO,2001-05-01,37.3
M,RCH_A,CP00,RO,2001-06-01,35.7
M,RCH_A,CP00,RO,2001-07-01,31.9
M,RCH_A,CP00,RO,2001-08-01,32.3
M,RCH_A,CP00,RO,2001-09-01,31.2
M,RCH_A,CP00,RO,2001-10-01,30.8
M,RCH_A,CP00,RO,2001-11-01,30.7
M,RCH_A,CP00,RO,2001-12-01,30.3
M,RCH_A,CP00,RO,2002-01-01,28.6
M,RCH_A,CP00,RO,2002-02-01,27.2
M,RCH_A,CP00,RO,2002-03-01,25.1
M,RCH_A,CP00,RO,2002-04-01,24.4
M,RCH_A,CP00,RO,2002-05-01,24.5
M,RCH_A,CP00,RO,2002-06-01,24
M,RCH_A,CP00,RO,2002-07-01,23
M,RCH_A,CP00,RO,2002-08-01,21.3
M,RCH_A,CP00,RO,2002-09-01,19.7
M,RCH_A,CP00,RO,2002-10-01,18.8
M,RCH_A,CP00,RO,2002-11-01,18.6
M,RCH_A,CP00,RO,2002-12-01,17.8
M,RCH_A,CP00,RO,2003-01-01,16.6
M,RCH_A,CP00,RO,2003-02-01,16.2
M,RCH_A,CP00,RO,2003-03-01,17.1
M,RCH_A,CP00,RO,2003-04-01,16
M,RCH_A,CP00,RO,2003-05-01,14.4
M,RCH_A,CP00,RO,2003-06-01,14
M,RCH_A,CP00,RO,2003-07-01,14.8
M,RCH_A,CP00,RO,2003-08-01,14.1
M,RCH_A,CP00,RO,2003-09-01,15.9
M,RCH_A,CP00,RO,2003-10-01,15.8
M,RCH_A,CP00,RO,2003-11-01,14.5
M,RCH_A,CP00,RO,2003-12-01,14.2
M,RCH_A,CP00,RO,2004-01-01,14
M,RCH_A,CP00,RO,2004-02-01,13.7
M,RCH_A,CP00,RO,2004-03-01,13.1
M,RCH_A,CP00,RO,2004-04-01,12.5
M,RCH_A,CP00,RO,2004-05-01,12.3
M,RCH_A,CP00,RO,2004-06-01,12
M,RCH_A,CP00,RO,2004-07-01,12.1
M,RCH_A,CP00,RO,2004-08-01,12.4
M,RCH_A,CP00,RO,2004-09-01,11.1
M,RCH_A,CP00,RO,2004-10-01,10.8
M,RCH_A,CP00,RO,2004-11-01,9.9
M,RCH_A,CP00,RO,2004-12-01,9.3
M,RCH_A,CP00,RO,2005-01-01,8.9
M,RCH_A,CP00,RO,2005-02-01,8.9
M,RCH_A,CP00,RO,2005-03-01,8.7
M,RCH_A,CP00,RO,2005-04-01,10
M,RCH_A,CP00,RO,2005-05-01,10.1
M,RCH_A,CP00,RO,2005-06-01,9.7
M,RCH_A,CP00,RO,2005-07-01,9.4
M,RCH_A,CP00,RO,2005-08-01,8.9
M,RCH_A,CP00,RO,2005-09-01,8.5
M,RCH_A,CP00,RO,2005-10-01,8.2
M,RCH_A,CP00,RO,2005-11-01,8.8
M,RCH_A,CP00,RO,2005-12-01,8.7
M,RCH_A,CP00,RO,2006-01-01,9
M,RCH_A,CP00,RO,2006-02-01,8.6
M,RCH_A,CP00,RO,2006-03-01,8.4
M,RCH_A,CP00,RO,2006-04-01,7
M,RCH_A,CP00,RO,2006-05-01,7.3
M,RCH_A,CP00,RO,2006-06-01,7.2
M,RCH_A,CP00,RO,2006-07-01,6.3
M,RCH_A,CP00,RO,2006-08-01,6.1
M,RCH_A,CP00,RO,2006-09-01,5.5
M,RCH_A,CP00,RO,2006-10-01,4.8
M,RCH_A,CP00,RO,2006-11-01,4.7
M,RCH_A,CP00,RO,2006-12-01,4.9
M,RCH_A,CP00,RO,2007-01-01,4.1
M,RCH_A,CP00,RO,2007-02-01,3.9
M,RCH_A,CP00,RO,2007-03-01,3.7
M,RCH_A,CP00,RO,2007-04-01,3.8
M,RCH_A,CP00,RO,2007-05-01,3.9
M,RCH_A,CP00,RO,2007-06-01,3.9
M,RCH_A,CP00,RO,2007-07-01,4.1
M,RCH_A,CP00,RO,2007-08-01,5
M,RCH_A,CP00,RO,2007-09-01,6.1
M,RCH_A,CP00,RO,2007-10-01,6.9
M,RCH_A,CP00,RO,2007-11-01,6.8
M,RCH_A,CP00,RO,2007-12-01,6.7
M,RCH_A,CP00,RO,2008-01-01,7.3
M,RCH_A,CP00,RO,2008-02-01,8
M,RCH_A,CP00,RO,2008-03-01,8.7
M,RCH_A,CP00,RO,2008-04-01,8.7
M,RCH_A,CP00,RO,2008-05-01,8.5
M,RCH_A,CP00,RO,2008-06-01,8.7
M,RCH_A,CP00,RO,2008-07-01,9.1
M,RCH_A,CP00,RO,2008-08-01,8.1
M,RCH_A,CP00,RO,2008-09-01,7.4
M,RCH_A,CP00,RO,2008-10-01,7.4
M,RCH_A,CP00,RO,2008-11-01,6.8
M,RCH_A,CP00,RO,2008-12-01,6.4
M,RCH_A,CP00,RO,2009-01-01,6.8
M,RCH_A,CP00,RO,2009-02-01,6.9
M,RCH_A,CP00,RO,2009-03-01,6.7
M,RCH_A,CP00,RO,2009-04-01,6.4
M,RCH_A,CP00,RO,2009-05-01,5.9
M,RCH_A,CP00,RO,2009-06-01,5.8
M,RCH_A,CP00,RO,2009-07-01,5
M,RCH_A,CP00,RO,2009-08-01,4.9
M,RCH_A,CP00,RO,2009-09-01,4.9
M,RCH_A,CP00,RO,2009-10-01,4.3
M,RCH_A,CP00,RO,2009-11-01,4.6
M,RCH_A,CP00,RO,2009-12-01,4.7
M,RCH_A,CP00,RO,2010-01-01,5.2
M,RCH_A,CP00,RO,2010-02-01,4.5
M,RCH_A,CP00,RO,2010-03-01,4.2
M,RCH_A,CP00,RO,2010-04-01,4.3
M,RCH_A,CP00,RO,2010-05-01,4.4
M,RCH_A,CP00,RO,2010-06-01,4.3
M,RCH_A,CP00,RO,2010-07-01,7.1
M,RCH_A,CP00,RO,2010-08-01,7.6
M,RCH_A,CP00,RO,2010-09-01,7.7
M,RCH_A,CP00,RO,2010-10-01,7.9
M,RCH_A,CP00,RO,2010-11-01,7.7
M,RCH_A,CP00,RO,2010-12-01,7.9
M,RCH_A,CP00,RO,2011-01-01,7
M,RCH_A,CP00,RO,2011-02-01,7.6
M,RCH_A,CP00,RO,2011-03-01,8
M,RCH_A,CP00,RO,2011-04-01,8.4
M,RCH_A,CP00,RO,2011-05-01,8.5
M,RCH_A,CP00,RO,2011-06-01,8
M,RCH_A,CP00,RO,2011-07-01,4.9
M,RCH_A,CP00,RO,2011-08-01,4.3
M,RCH_A,CP00,RO,2011-09-01,3.5
M,RCH_A,CP00,RO,2011-10-01,3.6
M,RCH_A,CP00,RO,2011-11-01,3.5
M,RCH_A,CP00,RO,2011-12-01,3.2
M,RCH_A,CP00,RO,2012-01-01,2.8
M,RCH_A,CP00,RO,2012-02-01,2.7
M,RCH_A,CP00,RO,2012-03-01,2.5
M,RCH_A,CP00,RO,2012-04-01,1.9
M,RCH_A,CP00,RO,2012-05-01,2
M,RCH_A,CP00,RO,2012-06-01,2.2
M,RCH_A,CP00,RO,2012-07-01,3.1
M,RCH_A,CP00,RO,2012-08-01,4
M,RCH_A,CP00,RO,2012-09-01,5.4
M,RCH_A,CP00,RO,2012-10-01,5
M,RCH_A,CP00,RO,2012-11-01,4.4
M,RCH_A,CP00,RO,2012-12-01,4.6
M,RCH_A,CP00,RO,2013-01-01,5.1
M,RCH_A,CP00,RO,2013-02-01,4.9
M,RCH_A,CP00,RO,2013-03-01,4.4
M,RCH_A,CP00,RO,2013-04-01,4.4
M,RCH_A,CP00,RO,2013-05-01,4.4
M,RCH_A,CP00,RO,2013-06-01,4.5
M,RCH_A,CP00,RO,2013-07-01,3.4
M,RCH_A,CP00,RO,2013-08-01,2.6
M,RCH_A,CP00,RO,2013-09-01,1.1
M,RCH_A,CP00,RO,2013-10-01,1.2
M,RCH_A,CP00,RO,2013-11-01,1.3
M,RCH_A,CP00,RO,2013-12-01,1.3
M,RCH_A,CP00,RO,2014-01-01,1.2
M,RCH_A,CP00,RO,2014-02-01,1.3
M,RCH_A,CP00,RO,2014-03-01,1.3
M,RCH_A,CP00,RO,2014-04-01,1.6
M,RCH_A,CP00,RO,2014-05-01,1.3
M,RCH_A,CP00,RO,2014-06-01,0.9
M,RCH_A,CP00,RO,2014-07-01,1.5
M,RCH_A,CP00,RO,2014-08-01,1.3
M,RCH_A,CP00,RO,2014-09-01,1.8
M,RCH_A,CP00,RO,2014-10-01,1.8
M,RCH_A,CP00,RO,2014-11-01,1.5
M,RCH_A,CP00,RO,2014-12-01,1
M,RCH_A,CP00,RO,2015-01-01,0.5
M,RCH_A,CP00,RO,2015-02-01,0.4
M,RCH_A,CP00,RO,2015-03-01,0.8
M,RCH_A,CP00,RO,2015-04-01,0.6
M,RCH_A,CP00,RO,2015-05-01,1.3
M,RCH_A,CP00,RO,2015-06-01,-0.9
M,RCH_A,CP00,RO,2015-07-01,-1.4
M,RCH_A,CP00,RO,2015-08-01,-1.7
M,RCH_A,CP00,RO,2015-09-01,-1.5
M,RCH_A,CP00,RO,2015-10-01,-1.4
M,RCH_A,CP00,RO,2015-11-01,-0.9
M,RCH_A,CP00,RO,2015-12-01,-0.7
M,RCH_A,CP00,RO,2016-01-01,-1.5
M,RCH_A,CP00,RO,2016-02-01,-2.1
M,RCH_A,CP00,RO,2016-03-01,-2.4
M,RCH_A,CP00,RO,2016-04-01,-2.6
M,RCH_A,CP00,RO,2016-05-01,-3
M,RCH_A,CP00,RO,2016-06-01,-0.7
M,RCH_A,CP00,RO,2016-07-01,-0.3
M,RCH_A,CP00,RO,2016-08-01,0.3
M,RCH_A,CP00,RO,2016-09-01,-0.1
M,RCH_A,CP00,RO,2016-10-01,0.1
M,RCH_A,CP00,RO,2016-11-01,-0.2
M,RCH_A,CP00,RO,2016-12-01,-0.1
M,RCH_A,CP00,RO,2017-01-01,0.3
M,RCH_A,CP00,RO,2017-02-01,0.5
M,RCH_A,CP00,RO,2017-03-01,0.4
M,RCH_A,CP00,RO,2017-04-01,0.6
M,RCH_A,CP00,RO,2017-05-01,0.5
M,RCH_A,CP00,RO,2017-06-01,0.7
M,RCH_A,CP00,RO,2017-07-01,0.9
M,RCH_A,CP00,RO,2017-08-01,0.6
M,RCH_A,CP00,RO,2017-09-01,1.3
M,RCH_A,CP00,RO,2017-10-01,2
M,RCH_A,CP00,RO,2017-11-01,2.6
M,RCH_A,CP00,RO,2017-12-01,2.6
M,RCH_A,CP00,RO,2018-01-01,3.4
M,RCH_A,CP00,RO,2018-02-01,3.8
M,RCH_A,CP00,RO,2018-03-01,4
M,RCH_A,CP00,RO,2018-04-01,4.3
M,RCH_A,CP00,RO,2018-05-01,4.6
M,RCH_A,CP00,RO,2018-06-01,4.7
M,RCH_A,CP00,RO,2018-07-01,4.3
M,RCH_A,CP00,RO,2018-08-01,4.7
M,RCH_A,CP00,RO,2018-09-01,4.7
M,RCH_A,CP00,RO,2018-10-01,4.2
M,RCH_A,CP00,RO,2018-11-01,3.2
M,RCH_A,CP00,RO,2018-12-01,3
M,RCH_A,CP00,RO,2019-01-01,3.2
M,RCH_A,CP00,RO,2019-02-01,4
M,RCH_A,CP00,RO,2019-03-01,4.2
M,RCH_A,CP00,RO,2019-04-01,4.4
M,RCH_A,CP00,RO,2019-05-01,4.4
M,RCH_A,CP00,RO,2019-06-01,3.9
M,RCH_A,CP00,RO,2019-07-01,4.1
M,RCH_A,CP00,RO,2019-08-01,4.1
M,RCH_A,CP00,RO,2019-09-01,3.5
M,RCH_A,CP00,RO,2019-10-01,3.2
M,RCH_A,CP00,RO,2019-11-01,3.8
M,RCH_A,CP00,RO,2019-12-01,4
M,RCH_A,CP00,RO,2020-01-01,3.9
M,RCH_A,CP00,RO,2020-02-01,2.9
M,RCH_A,CP00,RO,2020-03-01,2.7
M,RCH_A,CP00,RO,2020-04-01,2.3
M,RCH_A,CP00,RO,2020-05-01,1.8
M,RCH_A,CP00,RO,2020-06-01,2.2
M,RCH_A,CP00,RO,2020-07-01,2.5
M,RCH_A,CP00,RO,2020-08-01,2.5
M,RCH_A,CP00,RO,2020-09-01,2.1
M,RCH_A,CP00,RO,2020-10-01,1.8
M,RCH_A,CP00,RO,2020-11-01,1.7
M,RCH_A,CP00,RO,2020-12-01,1.8
M,RCH_A,CP00,RO,2021-01-01,2
M,RCH_A,CP00,RO,2021-02-01,2.5
M,RCH_A,CP00,RO,2021-03-01,2.5
M,RCH_A,CP00,RO,2021-04-01,2.7
M,RCH_A,CP00,RO,2021-05-01,3.2
M,RCH_A,CP00,RO,2021-06-01,3.5
M,RCH_A,CP00,RO,2021-07-01,3.8
M,RCH_A,CP00,RO,2021-08-01,4
M,RCH_A,CP00,RO,2021-09-01,5.2
M,RCH_A,CP00,RO,2021-10-01,6.5
M,RCH_A,CP00,RO,2021-11-01,6.7
M,RCH_A,CP00,RO,2021-12-01,6.7
M,RCH_A,CP00,RO,2022-01-01,7.2
M,RCH_A,CP00,RO,2022-02-01,7.9
M,RCH_A,CP00,RO,2022-03-01,9.6
M,RCH_A,CP00,RO,2022-04-01,11.7
M,RCH_A,CP00,RO,2022-05-01,12.4
M,RCH_A,CP00,RO,2022-06-01,13
M,RCH_A,CP00,RO,2022-07-01,13
M,RCH_A,CP00,RO,2022-08-01,13.3
M,RCH_A,CP00,RO,2022-09-01,13.4
M,RCH_A,CP00,RO,2022-10-01,13.5
M,RCH_A,CP00,RO,2022-11-01,14.6
M,RCH_A,CP00,RO,2022-12-01,14.1
M,RCH_A,CP00,RO,2023-01-01,13.4
M,RCH_A,CP00,RO,2023-02-01,13.4
M,RCH_A,CP00,RO,2023-03-01,12.2
M,RCH_A,CP00,RO,2023-04-01,10.4
M,RCH_A,CP00,RO,2023-05-01,9.6
M,RCH_A,CP00,RO,2023-06-01,9.3
M,RCH_A,CP00,RO,2023-07-01,8.9
M,RCH_A,CP00,RO,2023-08-01,9.3
M,RCH_A,CP00,RO,2023-09-01,9.2
M,RCH_A,CP00,RO,2023-10-01,8.3
M,RCH_A,CP00,RO,2023-11-01,6.9
M,RCH_A,CP00,RO,2023-12-01,7
M,RCH_A,CP00,RO,2024-01-01,7.3
M,RCH_A,CP00,RO,2024-02-01,7.1
M,RCH_A,CP00,RO,2024-03-01,6.7
M,RCH_A,CP00,RO,2024-04-01,6.2
M,RCH_A,CP00,RO,2024-05-01,5.8
M,RCH_A,CP00,RO,2024-06-01,5.3
M,RCH_A,CP00,RO,2024-07-01,5.8
M,RCH_A,CP00,RO,2024-08-01,5.3
M,RCH_A,CP00,RO,2024-09-01,4.8
M,RCH_A,CP00,RO,2024-10-01,5
M,RCH_A,CP00,RO,2024-11-01,5.4
M,RCH_A,CP00,RO,2024-12-01,5.5
M,RCH_A,CP00,RO,2025-01-01,5.3
M,RCH_A,CP00,RO,2025-02-01,5.2
M,RCH_A,CP00,RO,2025-03-01,5.1
M,RCH_A,CP00,RO,2025-04-01,4.9
M,RCH_A,CP00,RO,2025-05-01,5.4
M,RCH_A,CP00,RO,2025-06-01,5.8
M,RCH_A,CP00,RO,2025-07-01,6.6
M,RCH_A,CP00,RO,2025-08-01,8.5
M,RCH_A,CP00,RO,2025-09-01,8.6
M,RCH_A,CP00,RO,2025-10-01,8.4
M,RCH_A,CP00,RO,2025-11-01,8.6
M,RCH_A,CP00,RO,2025-12-01,8.6
